,Manufacturer,NHTSACampaignNumber,parkIt,parkOutSide,ReportReceivedDate,Component,Summary,Consequence,Remedy,Notes,ModelYear,Make,Model,NHTSAActionNumber,VehicleDescription,VehicleId
10,Ford Motor Company,23V155000,False,False,08/03/2023,STEERING,Ford Motor Company (Ford) is recalling certain 2023 Bronco Wildtrak and 2022 Bronco Raptor vehicles.  Internal damage to the steering gear may require increased steering effort or cause the steering wheel to lock-up.,"A steering wheel that locks-up can result in a complete loss of steering control, increasing the risk of a crash.","Owners are advised not to drive their vehicles until the remedy is performed.  Dealers will replace the steering gear, free of charge.  Owner notification letters were mailed March 31, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23S09.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 2DR SUV 4WD,17037
11,Ford Motor Company,23V155000,False,False,08/03/2023,STEERING,Ford Motor Company (Ford) is recalling certain 2023 Bronco Wildtrak and 2022 Bronco Raptor vehicles.  Internal damage to the steering gear may require increased steering effort or cause the steering wheel to lock-up.,"A steering wheel that locks-up can result in a complete loss of steering control, increasing the risk of a crash.","Owners are advised not to drive their vehicles until the remedy is performed.  Dealers will replace the steering gear, free of charge.  Owner notification letters were mailed March 31, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23S09.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 4DR SUV 4WD,16331
12,Ford Motor Company,23V165000,False,False,10/03/2023,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,"Ford Motor Company (Ford) is recalling certain 2021-2022 Bronco vehicles equipped with 8-inch SYNC infotainment screens that were previously remedied under recall 22V-825.  The rearview camera image may still be displayed after a backing event has ended.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""","A rearview image that continues to be displayed after the vehicle is shifted out of reverse may distract the driver, increasing the risk of a crash.","The SYNC module software will be updated by a dealer, or through an over-the-air (OTA) update, free of charge.  Owner notification letters were mailed on October 26, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23C05.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 2DR SUV 4WD,17037
13,Ford Motor Company,23V165000,False,False,10/03/2023,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,"Ford Motor Company (Ford) is recalling certain 2021-2022 Bronco vehicles equipped with 8-inch SYNC infotainment screens that were previously remedied under recall 22V-825.  The rearview camera image may still be displayed after a backing event has ended.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""","A rearview image that continues to be displayed after the vehicle is shifted out of reverse may distract the driver, increasing the risk of a crash.","The SYNC module software will be updated by a dealer, or through an over-the-air (OTA) update, free of charge.  Owner notification letters were mailed on October 26, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23C05.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 4DR SUV 4WD,16331
14,Ford Motor Company,23V358000,False,False,18/05/2023,SEAT BELTS:CRITICAL FASTENERS,"Ford Motor Company (Ford) is recalling certain 2021-2023 Bronco vehicles built with the 5-Door body style.  The first-row seat belt latch plates may be difficult to access from their stowed position.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 208, ""Occupant Crash Protection.""","Difficulty accessing the seat belt latches may result in occupants not wearing their seat belts, increasing the risk of injury in a crash.","Dealers will add a sliding clip latch stop to the driver and front passenger seat belts, free of charge.  Interim owner notification letters notifying owners of the safety risk were mailed July 14, 2023.  Owner letters informing owners that parts are available were mailed on October 2, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23C16.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 2DR SUV 4WD,17037
15,Ford Motor Company,23V358000,False,False,18/05/2023,SEAT BELTS:CRITICAL FASTENERS,"Ford Motor Company (Ford) is recalling certain 2021-2023 Bronco vehicles built with the 5-Door body style.  The first-row seat belt latch plates may be difficult to access from their stowed position.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 208, ""Occupant Crash Protection.""","Difficulty accessing the seat belt latches may result in occupants not wearing their seat belts, increasing the risk of injury in a crash.","Dealers will add a sliding clip latch stop to the driver and front passenger seat belts, free of charge.  Interim owner notification letters notifying owners of the safety risk were mailed July 14, 2023.  Owner letters informing owners that parts are available were mailed on October 2, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23C16.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 4DR SUV 4WD,16331
16,Ford Motor Company,23V379000,False,False,26/05/2023,EQUIPMENT:OTHER:LABELS,"Ford Motor Company (Ford) is recalling certain 2022-2023 Bronco, 2023 Super Duty F-250, and 2019-2023 Ranger vehicles.  The Tire and Loading Information (TREAD) label states the incorrect load carrying capacity, which can result in an overloaded vehicle.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 110, ""Tire Selection and Rims.""",An overloaded vehicle increases the risk of a crash.,"Ford will mail a new TREAD label to install over the existing label, free of charge.  Owners will also have the option to take their vehicle to a Ford or Lincoln dealer to have the new label installed, free of charge.  Owner notification letters were mailed July 21, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23C18.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 2DR SUV 4WD,17037
17,Ford Motor Company,23V379000,False,False,26/05/2023,EQUIPMENT:OTHER:LABELS,"Ford Motor Company (Ford) is recalling certain 2022-2023 Bronco, 2023 Super Duty F-250, and 2019-2023 Ranger vehicles.  The Tire and Loading Information (TREAD) label states the incorrect load carrying capacity, which can result in an overloaded vehicle.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 110, ""Tire Selection and Rims.""",An overloaded vehicle increases the risk of a crash.,"Ford will mail a new TREAD label to install over the existing label, free of charge.  Owners will also have the option to take their vehicle to a Ford or Lincoln dealer to have the new label installed, free of charge.  Owner notification letters were mailed July 21, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23C18.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 4DR SUV 4WD,16331
18,Ford Motor Company,21V625000,False,False,10/08/2021,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP:CONTROL/DRIVE MODULE","Ford Motor Company (Ford) is recalling certain 2021 Escape, Lincoln Corsair, and 2021-2022 Bronco Sport vehicles.  The fuel delivery module may leak inside the fuel tank, causing low fuel pressure which could result in an engine stall.",An engine stall increases the risk of a crash.,"Dealers will replace the fuel delivery module, free of charge.  Interim notification letters (remedy not available) were mailed on September 30, 2021.  Owner notification letters were mailed on December 14, 2021.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 21S38.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO SPORT,,2022 Ford Bronco Sport SUV 4WD,16332
19,Ford Motor Company,21V922000,False,False,23/11/2021,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER","Ford Motor Company (Ford) is recalling certain 2021-2022 Bronco Sport and Escape vehicles.  The rear brake linings may have been manufactured incorrectly, which can affect braking performance.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 135, ""Light Vehicle Brake Systems.""","During certain situations, the driver may have to apply more brake pedal force, and the distance required to stop the vehicle may be extended, increasing the risk of a crash.","Dealers will replace the front brake pads, free of charge.   Owner notification letters were mailed August 17, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 21C31.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO SPORT,,2022 Ford Bronco Sport SUV 4WD,16332
20,Ford Motor Company,22V191000,False,False,25/03/2022,ENGINE AND ENGINE COOLING:ENGINE:OIL/LUBRICATION,Ford Motor Company (Ford) is recalling certain 2020-2022 Escape and 2021-2022 Bronco Sport vehicles equipped with 1.5L engines.  The engine oil separator housing may crack and develop an oil leak.,"An oil leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will inspect the oil separator for damage or oil leaks, and replace the oil separator and seals, as necessary, free of charge.  Owner notification letters were mailed April 18, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S21.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO SPORT,,2022 Ford Bronco Sport SUV 4WD,16332
21,Ford Motor Company,22V686000,False,False,14/09/2022,EXTERIOR LIGHTING:LIGHTING CONTROL MODULE,"Ford Motor Company (Ford) is recalling certain 2022-2023 Bronco Sport and 2022 F-150 vehicles.  The parking lights may flicker when the headlights are activated.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Flickering parking lights can reduce visibility, increasing the risk of a crash.","Dealers will replace or reprogram the LED Driver module, free of charge.  Owner notification letters were mailed March 29, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22C22.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO SPORT,,2022 Ford Bronco Sport SUV 4WD,16332
22,Ford Motor Company,22V787000,False,False,20/10/2022,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP:CONTROL/DRIVE MODULE","Ford Motor Company (Ford) is recalling certain 2022 Bronco Sport vehicles.  The fuel pump control module (FPCM) bracket may not be secured to the fuel tank assembly, which can lead to FPCM failure and cause an engine stall.",An engine stall can increase the risk of a crash.,"Dealers will replace the fuel tank, free of charge.  Owner notification letters were mailed December 1, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S66.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO SPORT,,2022 Ford Bronco Sport SUV 4WD,16332
23,Ford Motor Company,22V859000,False,False,18/11/2022,"FUEL SYSTEM, GASOLINE:FUEL INJECTION SYSTEM",Ford Motor Company (Ford) is recalling certain 2020-2023 Escape and 2021-2023 Bronco Sport vehicles equipped with 1.5L engines.  A fuel injector may crack and leak fuel inside the engine compartment.,"A fuel leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will update the engine control software to include fuel injector leak detection and install a drain tube, free of charge.  Interim owner notification letters informing owners of the safety risk were mailed January 9, 2023.  Remedy parts are expected to be available in 1st Quarter of 2023.   Owner notification letters were mailed February 28, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S73.  This recall includes all vehicles previously recalled under 22V-191.  Vehicles previously remedied under 22V-191 will need to have the new remedy performed.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO SPORT,,2022 Ford Bronco Sport SUV 4WD,16332
24,Ford Motor Company,22V151000,False,False,11/03/2022,BACK OVER PREVENTION:DISPLAY FUNCTION,Ford Motor Company (Ford) is recalling certain 2021-2022 Edge vehicles.  A software error may cause the rearview camera to display a blank or distorted image when the vehicle is in reverse.,"A rearview camera that displays a blank or distorted image can reduce the driver's view of what is behind the vehicle, increasing the risk of a crash.","The rearview camera software will be updated by a dealer, or through an over-the-air (OTA) update, free of charge.  Owner notification letters were mailed on April 29, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S14.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,EDGE,,2022 Ford Edge SUV AWD,16377
25,Ford Motor Company,22V151000,False,False,11/03/2022,BACK OVER PREVENTION:DISPLAY FUNCTION,Ford Motor Company (Ford) is recalling certain 2021-2022 Edge vehicles.  A software error may cause the rearview camera to display a blank or distorted image when the vehicle is in reverse.,"A rearview camera that displays a blank or distorted image can reduce the driver's view of what is behind the vehicle, increasing the risk of a crash.","The rearview camera software will be updated by a dealer, or through an over-the-air (OTA) update, free of charge.  Owner notification letters were mailed on April 29, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S14.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,EDGE,,2022 Ford Edge SUV FWD,16334
26,Ford Motor Company,21V922000,False,False,23/11/2021,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER","Ford Motor Company (Ford) is recalling certain 2021-2022 Bronco Sport and Escape vehicles.  The rear brake linings may have been manufactured incorrectly, which can affect braking performance.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 135, ""Light Vehicle Brake Systems.""","During certain situations, the driver may have to apply more brake pedal force, and the distance required to stop the vehicle may be extended, increasing the risk of a crash.","Dealers will replace the front brake pads, free of charge.   Owner notification letters were mailed August 17, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 21C31.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,ESCAPE,,2022 Ford Escape SUV AWD,16378
27,Ford Motor Company,21V922000,False,False,23/11/2021,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER","Ford Motor Company (Ford) is recalling certain 2021-2022 Bronco Sport and Escape vehicles.  The rear brake linings may have been manufactured incorrectly, which can affect braking performance.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 135, ""Light Vehicle Brake Systems.""","During certain situations, the driver may have to apply more brake pedal force, and the distance required to stop the vehicle may be extended, increasing the risk of a crash.","Dealers will replace the front brake pads, free of charge.   Owner notification letters were mailed August 17, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 21C31.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,ESCAPE,,2022 Ford Escape SUV FWD,16335
28,Ford Motor Company,22V149000,False,False,11/03/2022,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY,"Ford Motor Company (Ford) is recalling certain 2022 Corsair and 2021-2022 Escape vehicles equipped with a 2.5L Hybrid powertrain.  The high voltage battery may fail, resulting in a sudden loss of drive power.",A sudden loss of drive power increases the risk of a crash.,"Dealers will replace the high voltage battery, free of charge.  Owner notification letters were mailed March 28, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 21S48.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,ESCAPE,,2022 Ford Escape SUV AWD,16378
29,Ford Motor Company,22V149000,False,False,11/03/2022,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY,"Ford Motor Company (Ford) is recalling certain 2022 Corsair and 2021-2022 Escape vehicles equipped with a 2.5L Hybrid powertrain.  The high voltage battery may fail, resulting in a sudden loss of drive power.",A sudden loss of drive power increases the risk of a crash.,"Dealers will replace the high voltage battery, free of charge.  Owner notification letters were mailed March 28, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 21S48.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,ESCAPE,,2022 Ford Escape SUV FWD,16335
30,Ford Motor Company,22V191000,False,False,25/03/2022,ENGINE AND ENGINE COOLING:ENGINE:OIL/LUBRICATION,Ford Motor Company (Ford) is recalling certain 2020-2022 Escape and 2021-2022 Bronco Sport vehicles equipped with 1.5L engines.  The engine oil separator housing may crack and develop an oil leak.,"An oil leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will inspect the oil separator for damage or oil leaks, and replace the oil separator and seals, as necessary, free of charge.  Owner notification letters were mailed April 18, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S21.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,ESCAPE,,2022 Ford Escape SUV AWD,16378
31,Ford Motor Company,22V191000,False,False,25/03/2022,ENGINE AND ENGINE COOLING:ENGINE:OIL/LUBRICATION,Ford Motor Company (Ford) is recalling certain 2020-2022 Escape and 2021-2022 Bronco Sport vehicles equipped with 1.5L engines.  The engine oil separator housing may crack and develop an oil leak.,"An oil leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will inspect the oil separator for damage or oil leaks, and replace the oil separator and seals, as necessary, free of charge.  Owner notification letters were mailed April 18, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S21.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,ESCAPE,,2022 Ford Escape SUV FWD,16335
