,report_received_date,nhtsa_id,recall_link,manufacturer,subject,component,mfr_campaign_number,recall_type,potentially_affected,defect_summary,consequence_summary,corrective_action,fire_risk_when_parked,do_not_drive,completion_rate
13,2023-12,23T010000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23T010000', 'description': 'Go to Recall'}","Sumitomo Rubber USA, LLC",Tire Sidewall May Have Puncture/FMVSS 139,TIRES,NR (Not Reported),Tire,1900,"Sumitomo Rubber USA, LLC (Sumitomo) is recalling certain Falken Wildpeak AT3W with size 265/70R17 115T and Wildpeak HT02 with size LT235/85R16 120/116S tires.  Due to a manufacturing error, the tires may have a puncture in the sidewall and leak air.  As such, these tires fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 139, ""New Pneumatic Radial Tires for Light Vehicles.""",A loss of air pressure can increase the risk of a crash.,"Dealers will replace the affected tires, free of charge.  Owner notification letters are expected to be mailed January 11, 2024.  Owners may contact Sumitomo customer service at 1-877-763-0416.",No,No,0
14,2023-12,23V825000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V825000', 'description': 'Go to Recall'}",PILOTCAR EV INC.,Red Rear Reflectors May Detach/FMVSS 500,EXTERIOR LIGHTING,PC-2023-01,Vehicle,265,"Pilotcar EV INC. (Pilotcar) is recalling certain 2021-2023 PC-2, PC-4, and PC-6 low speed electric vehicles.  The red rear reflectors may detach from the vehicle.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 500, ""Low Speed Vehicles.""","A missing reflector reduces the vehicle's visibility to other drivers, increasing the risk of a crash.","Pilotcar will install mounting screws and replace missing reflectors as necessary, free of charge.  Owner notification letters are expected to be mailed December 22, 2023.  Owners may contact Pilotcar customer service at 1-239-243-8023.  Pilotcar's number for this recall is PC-2023-01.",No,No,0
15,2023-12,23V826000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V826000', 'description': 'Go to Recall'}",Lamborghini (Automobili Lamborghini),Incorrectly Adjusted Headlights/FMVSS 108,ELECTRICAL SYSTEM,L62X-R.01.24,Vehicle,7805,"Lamborghini (Automobili Lamborghini) is recalling certain 2015-2024 Huracan vehicles.  The headlights may be incorrectly adjusted.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Incorrectly adjusted headlights can reduce the visibility of oncoming traffic, increasing the risk of a crash.","Dealers will update the software to deactivate the headlight functions for Tourist Mode and the Adaptive Front-lighting System (AFS), free of charge.  Owner notification letters are expected to be mailed February 1, 2024.  Owners may contact Lamborghini customer service at 1-866-681-6276.  Lamborghini's number for this recall is L62X-R.01.24.",No,No,0
16,2023-12,23V819000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V819000', 'description': 'Go to Recall'}","Ferrara Fire Apparatus, Inc.",Overloaded Electrical System May Cause Fire,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,6,"Ferrara Fire apparatus, Inc. (Ferrara) is recalling certain 2018-2020 Inferno Aerial Fire Apparatus trucks.  In the event of a short circuit or wiring failure, the firmware in the vehicle multiplex system may fail to shut off the output pin, resulting in overloaded electrical circuits.","Overloaded electrical circuits can overheat, increasing the risk of fire.","Ferrara will work with the equipment manufacturer to update the firmware, free of charge.  Owner notification letters are expected to be mailed January 15, 2024.  Owners may contact Ferrara customer service at 1-800-443-9006.",No,No,0
17,2023-12,23V818000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V818000', 'description': 'Go to Recall'}",Kovatch Mobile Equipment Corp.,Overloaded Electrical System May Cause Fire,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,2,"Kovatch Mobile Equipment Corp. (KME) is recalling certain 2020 Severe Service Aerial Fire Apparatus trucks.  In the event of a short circuit or wiring failure, the firmware in the vehicle multiplex system may fail to shut off the output pin, resulting in overloaded electrical circuits.","Overloaded electrical circuits can overheat, increasing the risk of fire.","Dealers will work with the equipment manufacturer to update the firmware, free of charge.  Owner notification letters are expected to be mailed January 15, 2024.  Owners may contact KME customer service at 1-800-235-3928.",No,No,0
18,2023-12,23V821000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V821000', 'description': 'Go to Recall'}","BMW of North America, LLC",Transmission Gears May Seize,POWER TRAIN,Toyota - 23TA14,Vehicle,552,"BMW of North America, LLC (BMW) is recalling certain 2023 Toyota GR Supra, 3 Series Sedan (330i xDrive, M340i xDrive, M3), 5 Series Sedan (530i, 530i xDrive, M5), 4 Series Gran Coupe (430i, 430i xDrive), 4 Series Coupe (430i, 430i xDrive, M440i xDrive), 4 Series Convertible (430i, 430i xDrive, M440i xDrive), 8 Series Coupe (840i, M850i xDrive, M8), 8 Series Convertible (840i, M850i xDrive, M8), 8 Series Gran Coupe (850i xDrive, M8), X3 SAV (X3 xDrive30i, X3M), X4 SAV (X4 xDrive30i), X5 SAV (X5 xDrive40i, X5 M50i, X5M), X6 SAV (X6 xDrive40i, X6 M50i, X6M), and Z4 sDrive30i, Z4 M40i vehicles.  The weld seam of the integrated transmission control unit's cover may not have been manufactured properly, which could allow automatic transmission oil to leak into the transmission control unit.","Transmission oil that leaks into the control unit can lead to a seizure of the transmission gears, causing a sudden loss of drive power and increasing the risk of a crash.","Dealers will replace the transmission mechatronics module and the automatic transmission fluid, as necessary, free of charge.  Owner notification letters are expected to be mailed February 1, 2024.  Owners may contact BMW customer service at 1-800-525-7417.",No,No,0
19,2023-12,23V815000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V815000', 'description': 'Go to Recall'}",Terberg Benschop B.V.,Steering Linkage May Loosen and Detach,STEERING,CAM0156,Vehicle,3,"Terberg Benschop B.V. (Terberg Benschop) is recalling certain 2021-2022 YT193 terminal tractors.  Paint on the mounting surface of the steering linkage can wear off, which may cause the bolt to become loose or break, resulting in a loss of steering control.",A loss of steering control increases the risk of a crash.,"Dealers will disassemble, clean and reassemble, the steering linkage mounting surface, free of charge.  The manufacturer has not yet provided a schedule for recall notification.  Owners may contact Terberg Benschop customer service at 348459294.  Terberg Benschop's number for this recall is CAM0156.",No,No,0
20,2023-12,23V816000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V816000', 'description': 'Go to Recall'}",Volvo Trucks North America,Incorrect GAWR on Certification Label/Part 567,EQUIPMENT,RVXX2314,Vehicle,53,"Volvo Trucks North America (Volvo Trucks) is recalling certain 2024 VN and VHD vehicles equipped with size 295/75 or 385/65 Continental tires on the front axle.  The Gross Axle Weight Rating (GAWR) listed on the vehicle certification label is incorrect, which can allow the vehicle to be overloaded.  As such, these vehicles fail to comply with the requirements of 49 CFR Part 567, ""Certification.""",An overloaded vehicle can increase the risk of a crash.,"Dealers will remove and replace the label, free of charge.  Owner notification letters are expected to be mailed January 29, 2024.  Owners may contact Volvo Trucks customer service at 1-800-528-6586.  Volvo Truck's number for this recall is RVXX2314.",No,No,0
21,2023-12,23V817000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V817000', 'description': 'Go to Recall'}",Textron Specialized Vehicles,Water May Damage Battery,ELECTRICAL SYSTEM,FSB03-23,Vehicle,67,Textron Specialized Vehicles (Cushman) is recalling certain 2024 Cushman Hauler Pro LSV vehicles.  Water may enter the battery composite module and damage electrical circuits.,Damaged electrical circuits can increase the risk of a fire.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect and replace the battery as necessary, free of charge.  The manufacturer has not yet provided a schedule for recall notification.  Owners may contact Cushman Customer Care at 1-888-438-3946.  Cushman 's number for this recall is FSB03-23.",Yes,No,0
22,2023-12,23V812000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V812000', 'description': 'Go to Recall'}","Gillig, LLC",Incorrect Fuse May Overheat and Cause Fire,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,3626,"Gillig, LLC (Gillig) is recalling certain 2021-2023 Low Floor vehicles.  The rearview mirror electric adjustment system may have been manufactured with an incorrect fuse.",An incorrect fuse may overheat and increase the risk of a fire.,"Gillig will replace the protection fuse of the mirror control switch, free of charge.  Owner notification letters are expected to be mailed January 15, 2024.  Owners may contact Gillig customer service at 1-510-264-5073 or 1-800-735-1500.",No,No,0
23,2023-12,23V811000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V811000', 'description': 'Go to Recall'}","Eldorado National- California, Inc.",Transmission May Separate from Driveshaft,POWER TRAIN,NR (Not Reported),Vehicle,443,"Eldorado National-California, Inc (Eldorado National-California) is recalling certain 2019-2023 Axess and EZR vehicles.  The transmission yoke may separate, resulting in driveshaft separation and a sudden loss of drive power.","A sudden loss of drive power can increase the risk of a crash.  Additionally, a disabled bus may require an evacuation procedure in an uncontrolled traffic situation, increasing the risk of injury to passengers.","Eldorado National-California will work with the equipment manufacturer, Allison Transmission Inc., to inspect, and if necessary, tighten loose transmission yoke bolts, free of charge.  Owner notification letters are expected to be mailed January 29, 2024.  Owners may contact Eldorado National-California customer service at 1-951-684-6868.",No,No,0
24,2023-12,23V809000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V809000', 'description': 'Go to Recall'}","Gillig, LLC",Inadequate Rear Axle Hub Lubrication,POWER TRAIN,NR (Not Reported),Vehicle,34,"Gillig, LLC (Gillig) is recalling certain 2023 Low Floor vehicles.  An inadequate amount of lubricant in the rear axle hubs may cause failure of the rear drive axles.",Rear drive axle failure can result in a loss of vehicle control and increase the risk of a crash or injury.,"Gillig will inspect for correct rear axle hub lubricant levels and add lubricant and gear oil as necessary, free of charge.  Owner notification letters are expected to be mailed January 15, 2023.  Owners may contact Gillig customer service at 1-510-264-5073 or 1-800-735-1500.",No,No,0
25,2023-12,23V813000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V813000', 'description': 'Go to Recall'}","Porsche Cars North America, Inc.",Rear Spoiler May Obstruct Center Brake Light,ELECTRICAL SYSTEM,APB4,Vehicle,53,"Porsche Cars North America, Inc. (Porsche) is recalling certain 2023-2024 Porsche 718 Cayman GTS 4.0, 2024 Porsche 718 Boxster S, and 718 Boxster GTS 4.0 vehicles.  The rear electronic control unit (ECU) may allow the spoiler to raise up too high.","The raised spoiler can reduce the visibility of the center brake light and impact the vehicle driving and aerodynamics, increasing the risk of a crash.","Dealers will update the ECU software, free of charge.  Owner notification letters are expected to be mailed February 2, 2024.  Owners may contact Porsche customer service at 1-800-767-7243.  Porsche's number for this recall is APB4.",No,No,0
26,2023-12,23V814000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V814000', 'description': 'Go to Recall'}","Nissan North America, Inc.",Incorrectly Adjusted Headlights,EXTERIOR LIGHTING,PC994,Vehicle,20051,"Nissan North America, Inc. (Nissan) is recalling certain 2022-2024 Infiniti QX60 vehicles.  When driving at certain high speeds, the Adaptive Front-Light System (AFS) may incorrectly adjust the headlights downward.","Incorrectly adjusted headlights can reduce visibility, increasing the risk of a crash.","Dealers will reconfigure the Intelligent Power Distribution Module (IPDM) settings, free of charge.  Owner notification letters are expected to be mailed January 12, 2024.  Owners may contact Nissan customer service at 1-800-867-7669.  Nissan's number for this recall is PC994.",No,No,0
27,2023-12,23V806000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V806000', 'description': 'Go to Recall'}","Daimler Vans USA, LLC",Windows & Interior Lashing Rail Cargo May Detach,STRUCTURE,VS3LACKHA,Vehicle,131,"Daimler Vans USA, LLC (DVUSA) is recalling certain 2021-2023 Mercedes-Benz Sprinter and 2021 Freightliner Sprinter vehicles.  The topcoat paint formula may cause the windows and interior lashing rails to be insufficiently bonded to the vehicle.","An insufficiently bonded window can detach during a crash, and objects secured to an insufficiently bonded interior lashing rail can detach, increasing the risk of injury.","Dealers will inspect the paint adhesion and repair it as necessary, free of charge.  Depending on the extent of any damage, DVUSA may offer to repurchase the vehicle.  Owner notification letters are expected to be mailed January 19, 2024.  Owners may contact DVUSA customer service at 1-877-762-8267.  DVUSA's number for this recall is VS3LACKHA.",No,No,0
28,2023-12,23V808000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V808000', 'description': 'Go to Recall'}","Spartan Fire, LLC",Overloaded Electrical System May Cause Fire,ELECTRICAL SYSTEM,23020,Vehicle,60,"Spartan Fire, LLC (Spartan Fire) is recalling certain 2020-2022 Spartan Fire S-180 Pumper Fire Apparatus, 2021 KME Pumper Fire Apparatus, 2020 Spartan Fire Ladder Tower Aerial Fire Apparatus, 2020-2022 KME Aerial Fire Apparatus, and 2022-2023 Smeal Aerial Fire Apparatus trucks.  In the event of a short circuit or wiring failure, the firmware in the vehicle multiplex system may fail to shut off the output pin, resulting in overloaded electrical circuits.","Overloaded electrical circuits can overheat, increasing the risk of fire.","Spartan Fire will work with the equipment manufacturer to update the firmware, free of charge.  Owner notification letters are expected to be mailed January 15, 2024.  Owners may contact Spartan Fire customer service at 1-517-543-6400.  Spartan Fire's number for this recall is 23020.",No,No,0
29,2023-12,23V805000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V805000', 'description': 'Go to Recall'}",Prevost Car (US) Inc.,Obstructed Sensor May Cause Unexpected Braking,FORWARD COLLISION AVOIDANCE,SR23-43,Vehicle,183,"Prevost Car (US) Inc. (Prevost) is recalling certain 2024 H3-45 and 2022-2024 H3-45 VIP motorcoaches equipped with Prevost Driver Assist.  The radar sensor may be obstructed by an incorrect front bumper trim panel, causing the driver assist system to not function properly.","A driver assist system that does not function properly may engage the brakes unexpectedly or fail to engage the brakes as intended, increasing the risk of a crash.","Prevost will inspect and replace the front bumper panel as necessary, free of charge.   Owner notification letters are expected to be mailed January 24, 2024.  Owners may contact Prevost customer service at 1-866-870-2046.  Prevost's number for this recall is SR23-43.",No,No,0
30,2023-12,23V807000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V807000', 'description': 'Go to Recall'}","Mercedes-Benz USA, LLC",Braking May Require Increased Force,ELECTRONIC STABILITY CONTROL,NR (Not Reported),Vehicle,2797,"Mercedes-Benz USA, LLC (MBUSA) is recalling certain 2024 GLE 450e Plug-in Hybrid (PHEV) vehicles.  Due to a software error in the electronic stability program (ESP), the force required to stop the vehicle may increase, possibly requiring an extended distance to stop.",Extended stopping distance can increase the risk of a crash.,"Dealers will update the ESP control unit software, free of charge.  Owner notification letters are expected to be mailed January 30, 2024.  Owners may contact MBUSA customer service at 1-800-367-6372.",No,No,0
31,2023-11,23V804000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V804000', 'description': 'Go to Recall'}","Tiffin Motorhomes, Inc.",Incorrect Propane Line Fittings May Cause Fire,EQUIPMENT,TIF-134,Vehicle,7,"Tiffin Motorhomes, Inc. (Tiffin) is recalling certain 2024 Allegro Open Road and Allegro Bay motorhomes.  The 32-inch hard line LPG hose fitting may not fit correctly, which can cause a fuel leak.",A fuel leak in the presence of an ignition source increases the risk of a fire.,"Dealers will replace the 32-inch hose with a 40-inch hose, free of charge.  Owner notification letters are expected to be mailed January 28, 2024.  Owners may contact Tiffin customer service at 1-256-356-8661.  Tiffin's number for this recall is TIF-134.",No,No,0
32,2023-11,23V801000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V801000', 'description': 'Go to Recall'}",Ford Motor Company,Deactivated Electronic Stability Control/FMVSS 126,ELECTRONIC STABILITY CONTROL,23C38,Vehicle,5118,"Ford Motor Company (Ford) is recalling certain 2022-2023 F-150 Lightning vehicles.  The SYNC software may fail to activate the electronic stability control (ESC) system at the beginning of each ignition cycle.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 126, ""Electronic Stability Control Systems.""","Failure to reset the ESC to active may result in the driver unknowingly operating the vehicle without electronic stability control, increasing the risk of a crash.","The Accessory Protocol Interface Module (APIM) software will be updated by a dealer or through an over-the-air (OTA) update, free of charge.  Owner notification letters are expected to be mailed December 18, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23C38.",No,No,0
33,2023-11,23E092000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23E092000', 'description': 'Go to Recall'}","Chrysler (FCA US, LLC)",Turn Signal and High Beam Malfunction/FMVSS 108,EXTERIOR LIGHTING,B3A,Equipment,1240,"Chrysler (FCA US, LLC) is recalling certain Mopar Steering Column Control Modules, with part numbers: 68508697AB, 68508699AB, 68508700AB, 68508701AF, 68508702AF, 68508704AF, and 68508698AB.  When installed into a vehicle, the steering column control module may cause the high beams to activate when using the turn signal, or the turn signal to activate when using the high beams.  As such, these modules fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Turn signals and/or high beams that do not function as intended may cause confusion or reduced visibility to other road users, increasing the risk of a crash.","Dealers will replace or repurchase the steering column control module, free of charge.  Owner notification letters are expected to be mailed January 17, 2024.  Owners may contact FCA US, LLC customer service at 1-800-853-1403.  FCA US, LLC's number for this recall is B3A.",No,No,0
34,2023-11,23V802000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V802000', 'description': 'Go to Recall'}",Ford Motor Company,Parking Lights May Flicker/FMVSS 108,EXTERIOR LIGHTING,23C36,Vehicle,18527,"Ford Motor Company (Ford) is recalling certain 2022 F-150 vehicles.  The parking lights may flicker when the headlights are activated.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Flickering parking lights can reduce visibility, increasing the risk of a crash.","Dealers will update the LED driver module software, free of charge.  Owner notification letters are expected to be mailed January 14, 2024.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23C36.  Vehicles with high series headlamps previously recalled under recall number 22V-686 that received an incomplete remedy, or have not yet been repaired, will need to have the new remedy completed.",No,No,0
